max_iter,system,distance,repeat,mode,eval_count,guide_cost,total_cost,energy,exact_total,abs_error_vs_fci,robust_amp,robust_guided_used
50,H2,0.6538461538461539,0,guided_fourier_robust,33,9,42.0,-1.1306196111237692,-1.1306196124696388,1.3458696379586854e-09,0.9222882409168855,True
50,H2,0.6538461538461539,1,default,31,0,31.0,-1.1306196124696322,-1.1306196124696388,6.661338147750939e-15,0.0,
50,H2,0.6538461538461539,1,guided_fourier_robust,32,9,41.0,-1.1306196107237971,-1.1306196124696388,1.7458416934346133e-09,0.9222882409168853,True
50,H2,0.6538461538461539,2,default,37,0,37.0,-1.130619611552964,-1.1306196124696388,9.16674736117784e-10,0.0,
50,H2,0.6538461538461539,2,guided_fourier_robust,43,9,52.0,-1.1306196103906667,-1.1306196124696388,2.0789721055791688e-09,0.9222882409168854,True
50,H2,0.8076923076923077,0,default,41,0,41.0,-1.1334180072520703,-1.1334180073912137,1.3914336349785117e-10,0.0,
50,H2,0.8076923076923077,0,guided_fourier_robust,32,9,41.0,-1.1334180069578461,-1.1334180073912137,4.3336756405665255e-10,0.7352101732648479,True
50,H2,0.8076923076923077,1,default,39,0,39.0,-1.1334180070547029,-1.1334180073912137,3.365108192099342e-10,0.0,
50,H2,0.8076923076923077,1,guided_fourier_robust,34,9,43.0,-1.133418006899341,-1.1334180073912137,4.918727647407195e-10,0.7352101732648479,True
50,H2,0.8076923076923077,2,default,35,0,35.0,-1.1334180073554219,-1.1334180073912137,3.5791813957075647e-11,0.0,
50,H2,0.8076923076923077,2,guided_fourier_robust,38,9,47.0,-1.1334180060774415,-1.1334180073912137,1.3137722021383524e-09,0.7352101732648479,True
50,H2,0.9615384615384616,0,default,38,0,38.0,-1.109059930853844,-1.1090599321341164,1.280272332593313e-09,0.0,
50,H2,0.9615384615384616,0,guided_fourier_robust,36,9,45.0,-1.1090599321330656,-1.1090599321341164,1.0507150705052481e-12,0.5983949854596446,True
50,H2,0.9615384615384616,1,default,41,0,41.0,-1.1090599310444849,-1.1090599321341164,1.0896314961428288e-09,0.0,
50,H2,0.9615384615384616,1,guided_fourier_robust,31,9,40.0,-1.1090599317683965,-1.1090599321341164,3.6571989880940237e-10,0.5983949854596444,True
50,H2,0.9615384615384616,2,default,32,0,32.0,-1.1090599319473475,-1.1090599321341164,1.8676882262980143e-10,0.0,
50,H2,0.9615384615384616,2,guided_fourier_robust,40,9,49.0,-1.1090599321098282,-1.1090599321341164,2.4288127065119625e-11,0.5983949854596448,True
50,LiH,0.5,0,default,50,0,50.0,-7.001460541720858,-7.033795929869492,0.0323353881486339,0.0,
50,LiH,0.5,0,guided_fourier_robust,50,9,59.0,-7.009579046089763,-7.033795929869492,0.024216883779729415,0.5100491410510748,True
50,LiH,0.5,1,default,50,0,50.0,-7.012833724755191,-7.033795929869492,0.02096220511430147,0.0,
50,LiH,0.5,1,guided_fourier_robust,50,9,59.0,-7.008981444126507,-7.033795929869492,0.024814485742985504,0.01243533086037158,True
50,LiH,0.5,2,default,50,0,50.0,-6.98820181613004,-7.033795929869492,0.04559411373945199,0.0,
50,LiH,0.5,2,guided_fourier_robust,50,9,59.0,-6.9949039920690925,-7.033795929869492,0.03889193780039957,0.08818877869219538,True
50,LiH,0.6538461538461539,0,default,50,0,50.0,-7.375300471184512,-7.410554190427815,0.03525371924330312,0.0,
50,LiH,0.6538461538461539,0,guided_fourier_robust,50,9,59.0,-7.36941415983733,-7.410554190427815,0.04114003059048521,0.5458960706506625,True
50,LiH,0.6538461538461539,1,default,50,0,50.0,-7.390258406699573,-7.410554190427815,0.020295783728242256,0.0,
50,LiH,0.6538461538461539,1,guided_fourier_robust,50,9,59.0,-7.38835108336485,-7.410554190427815,0.02220310706296491,0.01236542291032255,True
50,LiH,0.6538461538461539,2,default,50,0,50.0,-7.35780651515123,-7.410554190427815,0.05274767527658497,0.0,
50,LiH,0.6538461538461539,2,guided_fourier_robust,50,9,59.0,-7.362181788640295,-7.410554190427815,0.048372401787520225,0.081798364528705,True
50,LiH,0.8076923076923077,0,default,50,0,50.0,-7.597360655156933,-7.625517053911121,0.02815639875418796,0.0,
50,LiH,0.8076923076923077,0,guided_fourier_robust,50,9,59.0,-7.597738785253876,-7.625517053911121,0.02777826865724542,0.571219262464726,True
