molecule,run_label,noise_source,backend_name,shots,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
BeH2,statevector,,,,sto-3g,1.7,jw,efficient_su2,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.040053619123213,-15.476334003436163,CASCI,-15.476334003436163,0.43628038431294947,273.7698676798346,False,-3.001067744577809,100,True,,,8,61,-12.038985874545405,0.5021079320003992,1.845719035000002,2.352132562999941
BeH2,statevector,,,,sto-3g,1.7,jw,efficient_su2,2,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.470605325406364,-15.476334003436163,CASCI,-15.476334003436163,0.005728678029798928,3.594797021801096,False,-3.4316194508609605,1128,True,,,8,61,-12.038985874545403,0.40736588500021753,17.69899279099991,18.1106458940003
BeH2,statevector,,,,sto-3g,1.7,jw,efficient_su2,2,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.273166626123373,-15.476334003436163,CASCI,-15.476334003436163,0.20316737731278955,127.48935777017127,False,-3.234180751577971,200,True,,,8,61,-12.038985874545402,0.3682711780002137,2.9272787049994804,3.299518375999469
BeH2,statevector,,,,sto-3g,2.0,jw,real_amplitudes,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.126110327251528,-15.385344869379656,CASCI,-15.385344869379656,0.25923454212812835,162.6720082962797,False,-2.8770037747962083,100,True,,,8,105,-12.24910655245532,0.5126853740002844,1.609485097000288,2.1243416440001965
BeH2,statevector,,,,sto-3g,2.0,jw,real_amplitudes,1,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.25052423564831,-15.385344869379656,CASCI,-15.385344869379656,0.134820633731346,84.6011610521232,False,-3.0014176831929773,887,True,,,8,105,-12.249106552455332,0.48148881599991,16.42066026500015,16.904342333000386
BeH2,statevector,,,,sto-3g,2.0,jw,real_amplitudes,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.343442709562922,-15.385344869379656,CASCI,-15.385344869379656,0.0419021598167344,26.293982404439184,False,-3.0943361571075516,200,True,,,8,105,-12.24910655245537,4.271459673000209,5.707155224999951,10.414255384999706
BeH2,statevector,,,,sto-3g,2.0,jw,real_amplitudes,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.220953695151806,-15.385344869379656,CASCI,-15.385344869379656,0.1643911742278501,103.156941348544,False,-2.9718471426964195,100,True,,,8,105,-12.249106552455387,0.581458313999974,1.848036750000574,2.433518562000245
BeH2,statevector,,,,sto-3g,2.0,jw,real_amplitudes,2,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.3738620321111,-15.385344869379656,CASCI,-15.385344869379656,0.011482837268555812,7.2055837315541895,False,-3.1247554796557844,1500,True,,,8,105,-12.249106552455316,0.7308987490005165,27.643860875999962,28.383750913000767
BeH2,statevector,,,,sto-3g,2.0,jw,real_amplitudes,2,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.181798124449784,-15.385344869379656,CASCI,-15.385344869379656,0.2035467449298718,127.72741436419892,False,-2.9326915719944573,200,True,,,8,105,-12.249106552455327,0.5726733350002178,3.2984795100001065,3.8762994770004298
BeH2,statevector,,,,sto-3g,2.0,jw,efficient_su2,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-14.961631981967,-15.385344869379656,CASCI,-15.385344869379656,0.42371288741265545,265.88365026742804,False,-2.712525429511663,100,True,,,8,105,-12.249106552455338,0.6040332789998502,1.7917820989996471,2.4012526200003776
BeH2,statevector,,,,sto-3g,2.0,jw,efficient_su2,1,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.354416895996174,-15.385344869379656,CASCI,-15.385344869379656,0.03092797338348241,19.407581649895665,False,-3.1053103435408462,1590,True,,,8,105,-12.249106552455327,0.519281939999928,34.021840263999366,34.545308556000236
BeH2,statevector,,,,sto-3g,2.0,jw,efficient_su2,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-14.888096194924973,-15.385344869379656,CASCI,-15.385344869379656,0.4972486744546831,312.02801845838377,False,-2.6389896424696464,200,True,,,8,105,-12.249106552455327,0.8300741909997669,3.6902859149995493,4.552732819999619
BeH2,statevector,,,,sto-3g,2.0,jw,efficient_su2,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.030016729428953,-15.385344869379656,CASCI,-15.385344869379656,0.35532813995070356,222.97160577232606,False,-2.780910176973587,100,True,,,8,105,-12.249106552455366,0.5603969409994534,2.258794131999821,2.825114706000022
BeH2,statevector,,,,sto-3g,2.0,jw,efficient_su2,2,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.354416704178398,-15.385344869379656,CASCI,-15.385344869379656,0.030928165201258295,19.407702017276392,False,-3.1053101517230766,1274,True,,,8,105,-12.249106552455322,0.5020732449993375,25.270280880999962,25.776430175000314
BeH2,statevector,,,,sto-3g,2.0,jw,efficient_su2,2,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.06291587959013,-15.385344869379656,CASCI,-15.385344869379656,0.3224289897895254,202.3270929538353,False,-2.8138093271347664,200,True,,,8,105,-12.249106552455364,0.662273202000506,4.143549658999291,4.81173723899974
BeH2,statevector,,,,sto-3g,2.3,jw,real_amplitudes,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.064304932351243,-15.290260292182165,CASCI,-15.290260292182165,0.2259553598309214,141.78902189214168,False,-2.6599421631188167,100,True,,,8,105,-12.404362769232426,0.5849276939998163,1.8622912180007916,2.450562858000012
BeH2,statevector,,,,sto-3g,2.3,jw,real_amplitudes,1,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.086216112600034,-15.290260292182165,CASCI,-15.290260292182165,0.20404417958213017,128.0395590854029,False,-2.681853343367626,901,True,,,8,105,-12.404362769232408,0.5518119680000382,14.294751405999705,14.848972798999966
BeH2,statevector,,,,sto-3g,2.3,jw,real_amplitudes,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.162608113854926,-15.290260292182165,CASCI,-15.290260292182165,0.12765217832723863,80.1028907699472,False,-2.7582453446224826,200,True,,,8,105,-12.404362769232444,0.6791128969998681,3.0428876250007306,3.7242600580002545
BeH2,statevector,,,,sto-3g,2.3,jw,real_amplitudes,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.036036763225223,-15.290260292182165,CASCI,-15.290260292182165,0.2542235289569419,159.52755243224166,False,-2.631673993992836,100,True,,,8,105,-12.404362769232387,0.5205373319995488,1.8554705589995137,2.3787385630002973
